"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"1","Functionality","0","API User Creation","0","0","Create user via API","0"
"1","Functionality","0","API User Creation","0","0","validate the Orange HRM function","0"
"1","Functionality","0","title - functionality","0","0","Create user via API","0"
"2","Functionality","0","title - functionality","0","0","validate the Orange HRM function","0"
"1","User Management","0","API User Creation","0","0","Create user via API","0"
"1","User Management","0","API User Creation","0","0","validate the Orange HRM function","0"
"1","User Management","0","title - functionality","0","0","Create user via API","0"
"2","User Management","0","title - functionality","0","0","validate the Orange HRM function","0"
"1","Functionality","0","title - functionality","0","0","Delete user via UI","0"
"1","Functionality","0","UI User Deletion","0","0","Delete user via UI","0"
"1","Functionality","0","UI User Deletion","0","0","validate the Orange HRM function","0"
"1","User Management","0","title - functionality","0","0","Delete user via UI","0"
"1","User Management","0","UI User Deletion","0","0","Delete user via UI","0"
"1","User Management","0","UI User Deletion","0","0","validate the Orange HRM function","0"
